"id" "zspec" "flag" "zphot_best" "ra" "dec" "g_AB" "g_AB_lim" "mask_design_flag" "flag_gzk_ir" "flag_gzk_opt" "flag_BM" "flag_BX" "flag_LBG" "flag_BZ36" "flag_photz" "flag_xray" "flag_radio" "flag_bright_guide_star" "pointing" "mask" "quad" "slit" "obj" "year_reduction" "source_zphot_best" "flag_ilbert_photz1.7"
400735 2.3043 1.1 0.8503 150.206421 1.748034 23.82 24.50 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 46 3 81 1 0
400736 9.9999 0.0 2.2870 150.165558 1.748973 24.19 25.25 1 1 1 0 1 0 -1 1 0 0 0 52 1 1 45 1 81 1 0
400740 2.3853 1.1 0.5883 150.182877 1.748213 24.72 25.25 1 1 1 0 0 0 -1 1 0 0 0 62 1 4 41 2 83 2 0
400743 9.9999 0.0 1.8033 150.106155 1.749643 25.23 25.25 1 1 1 0 0 0 -1 1 0 0 0 42 1 1 41 1 83 2 0
400745 9.9999 0.0 2.1098 150.320877 1.749362 24.60 25.25 1 1 0 0 0 0 -1 1 0 0 0 72 1 4 47 1 81 2 0
400756 1.4412 2.5 1.4280 150.411072 1.749525 24.15 24.50 1 1 1 0 0 0 -1 1 0 0 0 72 1 1 49 1 81 1 0
400757 1.4345 1.5 1.4300 149.972214 1.749362 23.87 24.50 1 1 1 1 0 0 -1 1 0 0 0 52 1 4 40 1 81 1 0
400770 2.5580 1.1 1.5298 150.463196 1.750662 24.97 25.25 1 1 1 0 0 0 -1 1 0 0 0 72 1 1 50 1 81 1 0
400778 1.4381 2.5 1.3990 149.878342 1.751544 23.97 24.50 1 1 1 0 0 0 -1 1 0 0 0 42 1 4 38 1 83 2 0
400785 1.9878 1.5 2.1150 150.013916 1.750263 24.59 25.25 1 1 1 0 1 0 -1 1 0 0 0 42 1 1 40 1 83 2 0
400801 1.8762 2.5 2.0430 150.174423 1.751635 24.23 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 4 37 3 83 2 0
400813 9.9999 0.0 -9.9999 150.270721 1.752460 24.66 25.25 1 1 0 0 0 0 -1 1 0 0 0 62 1 1 40 1 83 -1 -99
400814 2.4778 4.5 2.5370 150.084305 1.752942 23.55 25.25 1 1 1 0 1 0 -1 1 0 0 0 52 1 4 39 1 81 1 0
400818 2.2229 1.5 2.2880 150.284042 1.752457 24.89 25.25 1 1 1 1 0 0 -1 1 0 0 0 72 1 4 44 1 81 1 0
400819 2.0498 1.5 1.8432 150.261154 1.752645 24.76 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 44 1 81 1 0
400820 1.5003 3.5 1.4500 150.024750 1.753556 23.29 24.50 1 1 0 1 0 0 -1 1 0 0 0 42 1 1 37 1 83 2 0
400822 1.7305 1.5 1.6020 150.232361 1.752815 23.79 24.50 1 1 0 0 1 0 -1 1 0 0 0 72 1 4 43 1 81 1 0
400826 2.3707 1.1 1.4753 149.989319 1.752841 24.31 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 4 37 1 81 1 0
400832 1.9273 2.1 1.1509 150.480911 1.753763 23.88 25.25 2 1 0 0 0 0 -1 1 0 0 2 72 1 1 48 2 81 3 -99
400833 2.2337 2.5 2.3080 150.129776 1.753554 24.97 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 4 36 1 83 2 0
400836 2.4456 1.1 1.5191 150.046234 1.753322 24.48 25.25 1 1 1 0 1 0 -1 1 0 0 0 52 1 4 38 2 81 1 0
400846 2.2602 1.1 1.4801 150.291550 1.756546 25.11 25.25 1 1 1 0 0 0 -1 1 0 0 0 72 1 4 41 1 81 1 0
400857 2.5335 3.5 2.4930 150.093552 1.754074 24.68 25.25 1 1 1 0 1 0 -1 1 0 0 0 42 1 1 38 2 83 2 0
400863 9.9999 0.0 1.3334 150.396744 1.754882 24.47 24.50 1 1 1 0 0 0 -1 1 0 0 0 72 1 1 47 3 81 1 -99
400870 1.6734 2.5 1.6620 150.136383 1.754775 24.10 25.25 1 1 1 0 1 0 -1 1 0 0 0 42 1 1 39 2 83 2 0
400875 2.1622 1.1 1.7927 150.348892 1.755595 24.37 24.50 1 1 1 0 0 0 -1 1 0 0 0 82 1 4 35 2 83 2 0
400880 0.5916 3.5 0.6990 150.396103 1.756167 23.43 24.50 1 1 0 0 0 0 -1 1 0 0 0 82 1 4 36 2 83 3 -99
400906 2.3583 3.5 2.1900 150.220474 1.756501 24.38 25.25 1 1 1 0 1 0 -1 1 0 0 0 72 1 4 40 1 81 1 0
400909 1.9273 2.5 1.6880 150.338608 1.756241 24.42 24.50 1 1 0 0 1 0 -1 1 0 0 0 72 1 4 42 2 81 1 0
400910 1.4351 2.5 1.4170 150.486420 1.758205 24.23 24.50 2 1 0 0 0 0 -1 1 0 0 2 72 1 1 46 3 81 1 0
400913 1.6510 2.5 1.7100 149.917984 1.756903 23.73 25.25 1 1 1 0 1 0 -1 1 0 0 0 32 1 1 41 1 81 1 0
400918 1.8827 1.5 1.8210 150.031845 1.757315 24.73 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 4 35 1 81 1 0
400923 2.3662 2.5 2.5680 150.338593 1.757225 25.08 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 1 39 1 83 1 0
400926 2.0746 2.5 2.0490 149.983566 1.757440 24.64 25.25 1 1 1 0 1 0 -1 1 0 0 0 32 1 1 42 2 81 1 0
400929 2.5096 4.1 1.6264 150.531326 1.756911 24.41 25.25 1 1 1 0 1 0 -1 1 0 0 0 82 1 1 34 2 83 2 0
400932 2.2312 2.5 2.3510 150.177277 1.757461 24.36 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 4 34 3 83 2 0
